time,temperature_2m_max,temperature_2m_min,precipitation_sum,city
2022-05-25,16.9,8.9,0.4,Lille
2022-05-26,19.6,12.1,0.0,Lille
2022-05-27,18.2,11.4,1.0,Lille
2022-05-28,16.4,8.8,0.7,Lille
2022-05-29,14.3,7.3,1.8,Lille
2022-05-30,14.4,5.0,0.3,Lille
2022-05-31,18.4,6.9,0.8,Lille
2022-06-01,17.4,7.9,0.0,Lille
2022-06-02,19.9,6.8,0.0,Lille
2022-06-03,24.1,10.1,2.6,Lille
2022-06-04,24.3,13.8,0.8,Lille
2022-06-05,19.3,14.1,4.8,Lille
2022-06-06,18.2,11.5,0.5,Lille
2022-06-07,19.4,10.0,1.0,Lille
2022-06-08,19.1,13.1,14.2,Lille
2022-06-09,20.0,11.8,0.2,Lille
2022-06-10,21.5,14.8,0.3,Lille
2022-06-11,21.1,12.9,0.0,Lille
2022-06-12,20.6,10.6,0.0,Lille
2022-06-13,18.5,11.4,0.0,Lille
2022-06-14,21.5,8.4,0.0,Lille
2022-06-15,24.7,10.8,0.0,Lille
2022-06-16,25.4,11.6,0.0,Lille
2022-06-17,30.5,16.3,0.0,Lille
2022-06-18,32.3,16.8,0.0,Lille
2022-06-19,19.6,13.9,4.5,Lille
2022-06-20,19.8,12.6,0.2,Lille
2022-06-21,21.5,10.4,0.0,Lille
2022-06-22,25.9,12.2,0.0,Lille
2022-06-23,27.4,16.2,1.3,Lille
2022-06-24,23.2,17.2,16.0,Lille
2022-06-25,21.5,13.9,3.8,Lille
2022-06-26,22.1,13.0,0.0,Lille
2022-06-27,20.4,13.6,1.7,Lille
2022-06-28,24.4,10.8,0.1,Lille
2022-06-29,26.0,11.8,0.0,Lille
2022-06-30,16.5,12.4,10.1,Lille
2022-07-01,19.5,10.8,1.1,Lille
2022-07-02,24.0,11.3,0.2,Lille
2022-07-03,20.1,12.6,0.0,Lille
2022-07-04,23.7,11.1,0.0,Lille
2022-07-05,21.9,10.8,0.0,Lille
2022-07-06,24.0,10.1,0.0,Lille
2022-07-07,20.2,12.4,0.2,Lille
2022-07-08,26.1,9.3,0.0,Lille
2022-07-09,23.6,13.7,0.0,Lille
2022-07-10,24.5,10.9,0.0,Lille
2022-07-11,27.8,12.8,0.1,Lille
2022-07-12,30.5,14.8,0.0,Lille
2022-07-13,29.0,20.2,0.1,Lille
2022-07-14,24.0,15.1,0.0,Lille
2022-07-15,23.0,11.0,0.0,Lille
2022-07-16,24.8,13.1,0.0,Lille
2022-07-17,27.2,11.5,0.0,Lille
2022-07-18,33.8,14.6,0.0,Lille
2022-07-19,38.1,19.6,0.0,Lille
2022-07-20,23.5,18.0,6.3,Lille
2022-07-21,22.5,15.8,2.2,Lille
2022-07-22,21.0,13.8,2.5,Lille
2022-07-23,24.6,13.0,0.5,Lille
2022-07-24,29.2,14.4,0.0,Lille
2022-07-25,22.6,17.2,2.6,Lille
2022-07-26,21.0,15.4,0.7,Lille
2022-07-27,21.2,12.6,0.1,Lille
2022-07-28,24.5,12.4,0.0,Lille
2022-07-29,25.1,11.9,0.0,Lille
2022-07-30,25.7,12.6,0.0,Lille
2022-07-31,25.0,16.8,0.3,Lille
2022-08-01,24.3,17.2,1.1,Lille
2022-08-02,27.1,15.6,0.0,Lille
2022-08-03,31.1,16.1,0.0,Lille
2022-08-04,26.9,17.4,0.0,Lille
2022-08-05,21.0,13.1,3.3,Lille
2022-08-06,21.9,10.0,0.0,Lille
2022-08-07,23.8,11.6,0.0,Lille
2022-08-08,24.2,11.8,0.0,Lille
2022-08-09,27.0,14.3,0.0,Lille
2022-08-10,29.9,16.0,0.0,Lille
2022-08-11,31.0,16.6,0.0,Lille
2022-08-12,31.5,17.0,0.0,Lille
2022-08-13,31.2,17.6,0.0,Lille
2022-08-14,31.1,17.0,0.0,Lille
2022-08-15,27.3,17.7,0.8,Lille
2022-08-16,26.2,16.8,1.1,Lille
2022-08-17,22.5,17.2,34.4,Lille
2022-08-18,25.6,14.4,0.0,Lille
2022-08-19,25.0,15.8,0.6,Lille
2022-08-20,22.4,13.9,0.0,Lille
2022-08-21,23.5,12.7,0.3,Lille
2022-08-22,26.9,16.6,0.0,Lille
